@id,name,highway,place,highway_valid
5180434,бульвар Верховної Ради,tertiary,,
5180435,бульвар Верховної Ради,secondary,,
5180439,Дарницька площа,trunk_link,,False
5180443,Празька вулиця,tertiary,,
5180445,вулиця Володимира Сосюри,residential,,
5180451,вулиця Гетьмана Павла Полуботка,residential,,
5180452,вулиця Вінстона Черчилля,tertiary,,
5180459,бульвар Верховної Ради,trunk,,
5180462,Бориспільська вулиця,secondary,,
5180465,вулиця Дениса Антіпова,tertiary,,
5180696,вулиця Юрія Литвинського,residential,,
5180697,вулиця Михайла Кравчука,residential,,
5180698,вулиця Ревуцького,tertiary,,
5180703,проспект Соборності,trunk,,
5180706,Харківське шосе,primary,,
5180707,проспект Леоніда Каденюка,trunk,,
5180751,Зарічна вулиця,residential,,
5180764,проспект Петра Григоренка,secondary,,
5181105,Братиславська вулиця,primary,,
5181108,Братиславська вулиця,unclassified,,
5181109,Братиславська вулиця,unclassified,,
5181110,Братиславська вулиця,unclassified,,
5184604,вулиця Щусєва,secondary,,
5184640,Гарматна вулиця,tertiary,,
5211923,вулиця Івана Дзюби,secondary,,
5211924,вулиця Родини Бунґе,residential,,
5211928,вулиця Олександра Махова,tertiary,,
5211930,вулиця Вахтанга Кікабідзе,tertiary,,
5211931,вулиця Симиренка,tertiary,,
5211933,вулиця Миколи Трублаїні,secondary,,
5211938,вулиця Симиренка,secondary,,
5217579,провулок Будівельників,residential,,
5217580,Синьоозерна вулиця,residential,,
5217582,Газопровідна вулиця,secondary,,
5218256,вулиця Мілютенка,tertiary,,
5218347,Богатирська вулиця,primary,,
5218348,Богатирська вулиця,primary_link,,
5218349,Богатирська вулиця,primary,,
5218350,Богатирська вулиця,primary,,
5218351,Богатирська вулиця,primary,,
5218352,Богатирська вулиця,primary,,
5218353,Богатирська вулиця,primary,,
5218354,Богатирська вулиця,primary,,
5218355,Оболонський проспект,secondary,,
5218363,вулиця Михайла Гориня,residential,,
5218366,вулиця Ганни Барвінок,residential,,
5218398,вулиця Петра Вершигори,secondary,,
5218399,Райдужна вулиця,residential,,
5218424,вулиця Героїв Енергетиків,residential,,
5218478,Пухівська вулиця,tertiary,,
5218479,Пухівська вулиця,tertiary,,
5218571,Мостищанська вулиця,residential,,
6131091,вулиця Флоренції,residential,,
6131203,вулиця Ованеса Туманяна,residential,,
6131526,вулиця Ентузіастів,tertiary,,
6131698,бульвар Ігоря Шамо,residential,,
6131699,бульвар Ігоря Шамо,residential,,
6163758,вулиця Раїси Окіпної,secondary,,
6164071,Русанівська набережна,secondary,,
7703483,вулиця Івана Миколайчука,trunk_link,,False
7703696,проспект Павла Тичини,tertiary,,
7703708,Березняківська вулиця,tertiary,,
7703752,Березняківська вулиця,tertiary,,
7703846,Березняківська вулиця,tertiary,,
7703848,Березняківська вулиця,tertiary,,
7704094,вулиця Юрія Шумського,tertiary,,
7704144,Березняківська вулиця,tertiary,,
7704225,Березняківська вулиця,tertiary,,
7704315,Березняківська вулиця,tertiary,,
7704445,вулиця Юрія Шумського,tertiary,,
7704514,проспект Павла Тичини,tertiary,,
7704552,проспект Павла Тичини,tertiary,,
7704562,вулиця Юрія Шумського,tertiary,,
7705100,Дніпровська набережна,secondary,,
7705441,Русанівський бульвар,residential,,
7705571,Русанівський бульвар,residential,,
7705823,вулиця Бориса Мартоса,residential,,
7706197,провулок Дзиґи Вертова,residential,,
7706489,Микільсько-Слобідська вулиця,tertiary,,
8069248,проспект Соборності,trunk,,
8069286,вулиця Євгена Сверстюка,secondary,,
8069318,вулиця Митрополита Андрея Шептицького,secondary,,
8069334,вулиця Євгена Маланюка,residential,,
8069366,вулиця Андрія Аболмасова,residential,,
8069368,вулиця Пантелеймона Куліша,secondary,,
8069370,вулиця Митрополита Андрея Шептицького,secondary,,
8069371,вулиця Митрополита Андрея Шептицького,secondary,,
8069379,вулиця Пантелеймона Куліша,secondary,,
8069396,вулиця Всеволода Нестайка,tertiary,,
8069402,Микільсько-Слобідська вулиця,tertiary,,
8069403,Микільсько-Слобідська вулиця,tertiary,,
8069430,бульвар Верховної Ради,residential,,
8072276,вулиця Шолом-Алейхема,tertiary,,
8082680,вулиця Івана Миколайчука,residential,,
8082707,вулиця Митрополита Андрея Шептицького,secondary,,
8082708,вулиця Євгена Сверстюка,secondary,,
8082748,вулиця Андрія Аболмасова,residential,,
8082769,вулиця Бориса Мартоса,tertiary,,
8082808,Бориспільське шосе,trunk_link,,False
8139662,Шовковична вулиця,tertiary,,
8140226,вулиця Новонаводницька,secondary,,
8140716,вулиця Левка Лукʼяненка,secondary,,
8140717,вулиця Левка Лукʼяненка,secondary,,
8140718,Андріївський узвіз,pedestrian,,
8141041,Костянтинівська вулиця,secondary,,
8141051,провулок Хорива,residential,,
8141053,вулиця Хорива,residential,,
8142108,вулиця Євгена Чикаленка,residential,,
8142118,вулиця Нижній Вал,secondary,,
8142120,Контрактова площа,residential,,
8142126,Кловський узвіз,tertiary,,
8142131,вулиця Шота Руставелі,secondary,,
8142136,вулиця Антоновича,tertiary,,
8142245,Велика Васильківська вулиця,primary,,
8142324,вулиця Ярославів Вал,tertiary,,
8142332,вулиця Петра Сагайдачного,primary,,
8142341,вулиця Фізкультури,residential,,
8142342,вулиця Фізкультури,residential,,
8143164,Богатирська вулиця,primary,,
8143165,вулиця Олени Теліги,primary,,
8143174,проспект Повітряних Сил,primary,,
8145385,вулиця Рональда Рейгана,secondary,,
8145386,Крайня вулиця,tertiary,,
8145388,Крайня вулиця,tertiary,,
8145389,Крайня вулиця,tertiary,,
8160898,Воскресенський проспект,primary,,
8160901,Райдужна вулиця,tertiary,,
8160904,Дарницький бульвар,tertiary,,
8160907,вулиця Миколи Кибальчича,tertiary,,
8160941,Дмитрівська вулиця,secondary,,
8160950,Крутий узвіз,residential,,
8160951,вулиця Героїв Дніпра,secondary,,
8160978,провулок Ґарета Джонса,unclassified,,
8160988,Межигірська вулиця,tertiary,,
8160991,Межигірська вулиця,tertiary,,
8160995,Борисоглібська вулиця,residential,,
8160996,вулиця Григорія Сковороди,residential,,
8160998,Житньоторзька вулиця,residential,,
8161009,Кирилівська вулиця,secondary,,
8161028,Коноплянська вулиця,tertiary,,
8161030,Вербова вулиця,secondary,,
8161042,Нагірна вулиця,residential,,
8161043,вулиця Князя Володимира Мономаха,residential,,
8161046,Стадіонна вулиця,residential,,
8161052,Січеславська вулиця,tertiary,,
8161054,Єреванська вулиця,residential,,
8161055,вулиця Максима Кривоноса,tertiary,,
8161057,Преображенська вулиця,residential,,
8161060,Гарматна вулиця,secondary,,
8161063,вулиця Тетяни Яблонської,residential,,
8161068,проспект Повітряних Сил,primary,,
8161076,вулиця Академіка Шалімова,tertiary,,
8161086,Озерна вулиця,tertiary_link,,False
8161090,площа Валерія Марченка,secondary,,
8161093,вулиця Данила Щербаківського,secondary,,
8161095,Сирецька вулиця,residential,,
8161102,Охтирський провулок,secondary,,
8161262,вулиця Будівельників,secondary,,
8161264,Пластова вулиця,residential,,
8161265,Пластова вулиця,residential,,
8161267,вулиця Павла Усенка,residential,,
8161271,проспект Леоніда Каденюка,trunk,,
8161272,проспект Леоніда Каденюка,trunk,,
8161273,вулиця Гната Хоткевича,tertiary,,
8161275,вулиця Гната Хоткевича,trunk,,
8161309,вулиця Остафія Дашкевича,tertiary,,
8161738,вулиця Оборони Києва,secondary,,
8385514,Володимирський проїзд,residential,,
8385806,площа Українських Героїв,secondary,,
8385841,Рибальський міст,footway,,False
8386504,Вереснева вулиця,residential,,
8386527,Деревообробний провулок,service,,
8386531,вулиця Баренбойма,unclassified,,
8387138,вулиця Ревуцького,residential,,
8387141,вулиця Ревуцького,residential,,
8387149,Колекторна вулиця,unclassified,,
8387152,Світла вулиця,secondary,,
8387153,Світла вулиця,secondary,,
8387155,Старобориспільська вулиця,secondary,,
8387157,Старобориспільська вулиця,secondary,,
8387161,Світла вулиця,secondary,,
8387185,Севастопольська площа,primary,,
8388546,Дніпровська вулиця,residential,,
8388559,Табірна вулиця,primary_link,,
8388562,Дегтярівська вулиця,secondary,,
8388569,вулиця Черняховського,residential,,
8388578,Індустріальний провулок,primary_link,,
8388583,Індустріальний провулок,primary_link,,
8388584,Індустріальний провулок,primary_link,,
8388586,Уманська вулиця,tertiary,,
8388635,Промислова вулиця,unclassified,,
8388912,вулиця Архітектора Ніколаєва,residential,,
8389133,Очаківська вулиця,residential,,
8389135,вулиця Левка Мацієвича,residential,,
8389150,вулиця Василя Жуковського,unclassified,,
8389153,Маричанська вулиця,residential,,
8389156,Васильківська вулиця,secondary,,
8389158,вулиця Академіка Книшова,unclassified,,
8389162,Сумська вулиця,tertiary,,
8389174,вулиця Павла Потоцького,residential,,
8389181,вулиця Павла Потоцького,residential,,
8389183,Планетарна вулиця,residential,,
8389192,Смерекова вулиця,residential,,
8389203,Повітрофлотська вулиця,residential,,
8389224,вулиця Українських Повстанців,tertiary,,
8389226,провулок Шевченка,residential,,
8389236,вулиця Шевченка,primary,,
8389263,проїзд,service,,
8389266,вулиця Ґолди Меїр,residential,,
8389269,Вовчогірська вулиця,residential,,
8389283,вулиця Юрія Кондратюка,residential,,
8389594,вулиця Георгія Кірпи,unclassified,,
8392013,майдан Незалежності,residential,,
8392578,Старонаводницька вулиця,secondary,,
8392579,Наводницька площа,secondary,,
8392581,Наводницька площа,secondary,,
8393346,Нижньоюрківський провулок,service,,
8393373,вулиця Гетьмана Павла Полуботка,residential,,
8398042,Золотоворітська вулиця,residential,,
8398085,Банкова вулиця,residential,,
8398100,Літня вулиця,residential,,
9451696,міст Патона,trunk,,
14397589,Покровський провулок,service,,
14456906,вулиця Сергія Берегового,residential,,
15245344,Козацька вулиця,residential,,
15401635,Камінь-Каширський провулок,residential,,
15401741,вулиця Карпатської Січі,residential,,
22648531,Подільський мостовий перехід,construction,,False
22649797,Микільсько-Слобідська вулиця,service,,
22649800,Микільсько-Слобідська вулиця,residential,,
22649804,Микільсько-Слобідська вулиця,residential,,
22674949,бульвар Верховної Ради,tertiary,,
22674954,бульвар Верховної Ради,tertiary,,
22674965,проспект Леоніда Каденюка,trunk,,
22674971,вулиця Будівельників,tertiary,,
22674985,вулиця Дмитра Багалія,residential,,
22674999,вулиця Тампере,residential,,
22747976,вулиця Петра Вершигори,secondary,,
22941193,вулиця Леонтовича,residential,,
23054187,Жилянська вулиця,primary,,
23054260,Тарасівська вулиця,secondary,,
23054399,вулиця Ковпака,residential,,
23057069,Кільцева дорога,trunk,,
23057070,Кільцева дорога,trunk,,
23057079,Кільцева дорога,trunk,,
23057256,вулиця Шевченка,primary,,
23062429,Тарасівська вулиця,residential,,
23062446,Загородня вулиця,secondary,,
23062449,Загородня вулиця,secondary,,
23062570,вулиця Авіаконструктора Антонова,residential,,
23063677,вулиця Черняховського,residential,,
23063766,вулиця Олександра Бринжали,residential,,
23063793,бульвар Павла Вірського,tertiary,,
23063807,Ружинська вулиця,tertiary,,
23063845,бульвар Павла Вірського,tertiary,,
23067153,Бастіонна вулиця,secondary,,
23067277,Курганівська вулиця,trunk_link,,False
23067317,площа Лесі Українки,secondary,,
23072581,Володимиро-Либідська вулиця,residential,,
23072600,Байкова вулиця,secondary,,
23087180,Повітряних сил шляхопровід,primary,,
23087181,вулиця Вʼячеслава Чорновола,primary,,
23087188,Борщагівська вулиця,primary_link,,
23096868,проспект Повітряних Сил,primary,,
23096869,проспект Повітряних Сил,primary,,
23096871,проспект Повітряних Сил,primary,,
23096872,проспект Повітряних Сил,primary,,
23110291,Фанерна вулиця,residential,,
23110295,бульвар Ярослава Гашека,living_street,,False
23118854,Фанерний провулок,residential,,
23118857,проспект Соборності,trunk,,
23118858,проспект Соборності,trunk,,
23120534,проспект Миру,secondary,,
23120537,Дарницька площа,trunk,,
23120539,Дарницька площа,trunk_link,,False
23120540,Дарницька площа,trunk,,
23120541,Харківське шосе,primary,,
23120543,проспект Леоніда Каденюка,trunk,,
23120544,Пластова вулиця,residential,,
23120545,Празька вулиця,tertiary,,
23120546,Празька вулиця,tertiary,,
23120669,Пластова вулиця,residential,,
23120907,Вифлеємська вулиця,residential,,
23127838,вулиця Казимира Малевича,secondary,,
23145425,проспект Романа Шухевича,primary,,
23145427,Північний міст,primary,,
23145431,Північний міст,primary,,
23145432,проспект Степана Бандери,primary,,
23145462,Труханівська вулиця,primary_link,,
23145463,Труханівська вулиця,unclassified,,
23145472,Труханівська вулиця,unclassified,,
23145478,Труханівська вулиця,primary_link,,
23152012,Русанівська набережна,secondary,,
23152031,площа Андрія Первозваного,secondary,,
23154462,вулиця Георгія Тороповського,residential,,
23154466,вулиця Сергія Набоки,residential,,
