@id,name,highway,place,highway_valid,name_type
23705137,10-та Садова вулиця,steps,,False,вулиця
23705139,9-та Садова вулиця,residential,,,вулиця
23705141,8-ма Садова вулиця,residential,,,вулиця
23705142,7-ма Садова вулиця,residential,,,вулиця
23705146,6-та Садова вулиця,residential,,,вулиця
23705149,4-та Садова вулиця,residential,,,вулиця
23705150,3-тя Садова вулиця,residential,,,вулиця
23705152,2-га Садова вулиця,residential,,,вулиця
23705165,5-й Садовий провулок,residential,,,провулок
23705166,4-й Садовий провулок,residential,,,провулок
23705169,3-й Садовий провулок,residential,,,провулок
23705177,2-й Садовий провулок,residential,,,провулок
23705178,1-й Садовий провулок,residential,,,провулок
23705190,1-ша Садова вулиця,residential,,,вулиця
23706616,Кудрявська вулиця,residential,,,вулиця
23706831,вулиця Михайла Донця,residential,,,вулиця
23706860,Бориславська вулиця,residential,,,вулиця
23706862,Миронівська вулиця,residential,,,вулиця
23706865,вулиця Патріотів,residential,,,вулиця
23706866,Карпатська вулиця,residential,,,вулиця
23706867,вулиця Паустовського,residential,,,вулиця
23706877,Чернівецька вулиця,residential,,,вулиця
23706882,Постова вулиця,residential,,,вулиця
23707290,вулиця Аттили Могильного,residential,,,вулиця
23707705,Лаврський провулок,service,,,провулок
23707777,Купʼянська вулиця,residential,,,вулиця
23707800,Лисичанський провулок,residential,,,провулок
23707815,вулиця Нечуя-Левицького,tertiary,,,вулиця
23708518,Клінічна вулиця,service,,,вулиця
23708534,Університетська вулиця,residential,,,вулиця
23708537,вулиця Андрія Головка,secondary,,,вулиця
23708541,Новонародний провулок,residential,,,провулок
23708544,Караїмський провулок,residential,,,провулок
23708547,Гучний провулок,residential,,,провулок
23708549,Василівська вулиця,residential,,,вулиця
23708582,вулиця Освіти,residential,,,вулиця
23708607,Донецька вулиця,residential,,,вулиця
23708659,Кавказька вулиця,residential,,,вулиця
23709111,Запечерний провулок,residential,,,провулок
23721191,Лейпцизька вулиця,residential,,,вулиця
23855841,Оболонська набережна,pedestrian,,,набережна
23858727,Новодарницька вулиця,residential,,,вулиця
23858729,вулиця Геннадія Афанасьєва,residential,,,вулиця
23858730,вулиця Ісмаїла Гаспринського,residential,,,вулиця
23858731,вулиця Павла Чубинського,residential,,,вулиця
23858977,Севастопольська вулиця,residential,,,вулиця
23858978,Санаторна вулиця,residential,,,вулиця
23861902,Ялтинська вулиця,tertiary,,,вулиця
23863500,провулок Ігоря Качуровського,residential,,,провулок
23876862,вулиця Симона Петлюри,secondary,,,вулиця
23894714,вулиця Ґарета Джонса,residential,,,вулиця
23909908,вулиця Лисенка,residential,,,вулиця
23909966,Золотоворітський проїзд,pedestrian,,,проїзд
24377112,вулиця Саксаганського,secondary,,,вулиця
24695864,провулок Памви Беринди,residential,,,провулок
24695979,Редутна вулиця,residential,,,вулиця
24696037,Козятинський провулок,residential,,,провулок
24696274,Левандовська вулиця,residential,,,вулиця
24696390,провулок Йова Борецького,residential,,,провулок
24696904,Лабораторний провулок,residential,,,провулок
24798497,Печерська площа,residential,,,площа
24802181,Тепловозна вулиця,tertiary,,,вулиця
24836925,вулиця Олександра Кониського,residential,,,вулиця
24853581,вулиця Володимира Винниченка,residential,,,вулиця
24926533,вулиця Івана Драча,residential,,,вулиця
24926597,Ростиславська вулиця,tertiary,,,вулиця
